eta,max_depth,subsample,colsample_bytree,min_child_weight,reg_lambda,avg_top1,avg_ndcg1,avg_best_iter
0.1,4,1.0,1.0,1.0,5.0,0.719047619047619,0.8976190475713729,12
0.05,8,1.0,0.8,5.0,1.0,0.719047619047619,0.8843749999461579,6
0.05,8,0.8,0.8,5.0,5.0,0.719047619047619,0.881845238040218,13
0.05,4,0.8,1.0,5.0,5.0,0.719047619047619,0.8763392856567016,15
0.05,4,1.0,0.8,1.0,5.0,0.719047619047619,0.8580357142196071,7
0.05,8,1.0,0.8,1.0,5.0,0.719047619047619,0.8497023808823932,3
0.05,8,1.0,1.0,1.0,5.0,0.719047619047619,0.8459821427854226,6
0.05,4,0.8,0.8,1.0,1.0,0.719047619047619,0.8309523808736621,2
0.1,8,0.8,0.8,1.0,5.0,0.719047619047619,0.8142857141992345,10
0.1,6,1.0,0.8,5.0,1.0,0.7142857142857143,0.8830357142312486,11
0.1,4,1.0,1.0,1.0,1.0,0.7142857142857142,0.8674107142239726,4
0.05,6,0.8,0.8,1.0,5.0,0.6904761904761905,0.8532738094554848,10
0.05,4,1.0,1.0,1.0,5.0,0.6904761904761905,0.8497023808823932,9
0.05,4,0.8,0.8,1.0,5.0,0.6904761904761905,0.8413690475451794,8
0.1,6,0.8,0.8,1.0,5.0,0.6904761904761905,0.8382440475437243,7
0.1,8,1.0,0.8,5.0,1.0,0.6857142857142857,0.9380952380664114,9
0.1,6,0.8,0.8,1.0,1.0,0.6857142857142857,0.8745535713701559,4
0.05,6,1.0,1.0,1.0,5.0,0.6857142857142857,0.8605654761255469,8
0.1,4,0.8,0.8,1.0,5.0,0.6857142857142857,0.8309523808736621,6
0.05,6,1.0,1.0,5.0,1.0,0.680952380952381,0.8915178570923412,9
0.05,6,0.8,1.0,5.0,1.0,0.680952380952381,0.8888392856625223,5
0.05,6,1.0,1.0,1.0,1.0,0.680952380952381,0.8745535713701559,9
0.1,8,1.0,1.0,1.0,5.0,0.680952380952381,0.8604166666016682,8
0.1,4,0.8,1.0,1.0,1.0,0.6761904761904762,0.8961309523325844,12
0.05,4,0.8,1.0,1.0,5.0,0.6619047619047619,0.8532738094554848,11
0.05,6,1.0,0.8,1.0,5.0,0.6571428571428571,0.8497023808823932,6
0.1,8,1.0,0.8,1.0,5.0,0.6571428571428571,0.8389880951631182,3
0.1,8,0.8,1.0,1.0,5.0,0.6571428571428571,0.8059523808620206,6
0.1,4,0.8,1.0,1.0,5.0,0.6523809523809525,0.8559523808853037,13
0.05,6,0.8,1.0,1.0,5.0,0.6523809523809525,0.8459821427854226,6
0.1,6,1.0,0.8,1.0,5.0,0.6523809523809524,0.8747023808940348,9
