file,timestamp,country,energy_kwh,co2_g,model,batch,epochs,tag
yolo11m_b20_e20_run1_20250730-025407.json,2025-07-30T02:54:07+08:00,CN,0.0003562055896909381,0.17525315012794157,yolo11m.pt,20,20,65W
yolo11m_b20_e5_run1_20250727-211055.json,2025-07-27T21:10:55+08:00,CN,8.448360786030472e-05,0.041565935067269924,yolo11m.pt,20,5,115W
yolo11m_b20_e5_run1_20250730-013448.json,2025-07-30T01:34:48+08:00,CN,7.363787132049369e-05,0.0362298326896829,yolo11m.pt,20,5,65W
yolo11m_b21_e10_run1_20250727-213757.json,2025-07-27T21:37:57+08:00,CN,0.00017772814086843174,0.08744224530726842,yolo11m.pt,21,10,115W
yolo11m_b21_e10_run1_20250730-020641.json,2025-07-30T02:06:41+08:00,CN,0.0001612899573068029,0.07935465899494702,yolo11m.pt,21,10,65W
yolo11m_b21_e1_run1_20250727-205400.json,2025-07-27T20:54:00+08:00,CN,1.2446233534471552e-05,0.006123546898960003,yolo11m.pt,21,1,115W
yolo11m_b21_e1_run1_20250730-011347.json,2025-07-30T01:13:47+08:00,CN,1.2579942852978586e-05,0.006189331883665465,yolo11m.pt,21,1,65W
yolo11m_b21_e20_run1_20250727-221859.json,2025-07-27T22:18:59+08:00,CN,0.00042442079218094514,0.20881502975302502,yolo11m.pt,21,20,115W
yolo11m_b21_e20_run1_20250730-025605.json,2025-07-30T02:56:05+08:00,CN,0.00035608180132579484,0.17519224625229107,yolo11m.pt,21,20,65W
yolo11m_b21_e5_run1_20250727-211136.json,2025-07-27T21:11:36+08:00,CN,8.717000889327252e-05,0.04288764437549008,yolo11m.pt,21,5,115W
yolo11m_b21_e5_run1_20250730-013539.json,2025-07-30T01:35:39+08:00,CN,7.646562876216265e-05,0.03762108935098402,yolo11m.pt,21,5,65W
yolo11m_b22_e10_run1_20250727-213859.json,2025-07-27T21:38:59+08:00,CN,0.00017640181961058938,0.08678969524840997,yolo11m.pt,22,10,115W
yolo11m_b22_e10_run1_20250730-020754.json,2025-07-30T02:07:54+08:00,CN,0.0001518484935897858,0.07470945884617461,yolo11m.pt,22,10,65W
yolo11m_b22_e1_run1_20250727-205430.json,2025-07-27T20:54:30+08:00,CN,1.1789490150074237e-05,0.005800429153836524,yolo11m.pt,22,1,115W
yolo11m_b22_e1_run1_20250730-011426.json,2025-07-30T01:14:26+08:00,CN,1.1627852278823805e-05,0.005720903321181312,yolo11m.pt,22,1,65W
